wave	name_CW	packet_name_1	packet_name_2	name_TGRC	name_CC	name_EA	name_PI	name_TS	name_BGV	name_FLA	name_LYC	name_TR	name_other	name_original_alonge	name_original_razifard	part_of_razifard	part_of_alonge	species	alonge_species	Taxon	SV Count	SV Collector Rank	SRA ID	Yield (bp)	Assigned_population	Country	Province	Collecting_locality	Local_name	Notes_from_original_collections	Latitude	Longitude	fresh_weight_(g)	dry_weight_(%)	locule_number_(count)	pericarp_thickness_(mm)	soluble_solids_(Brix)	beta-carotene_(mg/g_tissue)	lycopene_(mg/g_tissue)	citric_acid_(mg/g_tissue)	malic_acid_(mg/g_tissue)	glucose_(mg/g_tissue)	fructose_(mg/g_tissue)	alpha-tomatine_(mg/g_tissue)	dehydrotomatine_(mg/g_tissue)
4	CW0074	LA4682		LA4682					BGV006753						BGV006753	TRUE	FALSE	lycopersicum							SLC ECU	ECU	Napo	Archidona.Archidona;Napo	unknown	backyard	-0.91166666699999999	-77.80722222	7.532777778	10.64523921	2.0249999999999999	1.7376111110000001	4.8	0.58122261399999997	33.418236329999999	5.1294117650000004	0.32153110000000001	13.311999999999999	15.72173913	2.472513E-3	2.38001E-4
4	CW0075	LA4667		LA4667					BGV006229						BGV006229	TRUE	FALSE	lycopersicum							SLC ECU	ECU	Morona Santiago	Indanza.Limón Indanza;Morona Santiago	Tomate riñón	kidney tomate, primitive cultivar	-3.0630555560000001	-78.486388890000001	8.267395833	8.752202094	2.2374999999999998	1.745944444	6.7	1.607598793	52.268856100000001	9.7037037040000005	0.45656565700000001	15.74285714	18.061538460000001	1.0550423E-2	1.510658E-3
5	CW0076	LA4698		LA4698					BGV006899						BGV006899	TRUE	FALSE	lycopersicum							SLC ECU	ECU	Morona Santiago	Huambi;Morona Santiago	Tomatillo	backyard, primitive cultivar	-2.5422222219999999	-78.166666669999998	8.99875	8.63933932	2.9	2.1979000000000002	6	0.56611516299999998	26.50746105	7.3834862389999998	0.291262136	17.150877189999999	18.103703700000001	NA	NA
5	CW0077	LA4725		LA4725					BGV007857						BGV007857	TRUE	FALSE	lycopersicum							SLL	MEX		Xcanatun;Yucatán	Tomate	farmland, primitive cultivar	21.083333329999999	-89.616666670000001	50.05809524	8.085542816	6.8508771929999996	3.2788888890000001	5.4	0.65184241899999995	24.998108630000001	3.5391242219999999	0.84807692400000001	16.638596490000001	17.645283020000001	8.6776699999999997E-4	1.3050400000000001E-4
5	CW0078	PI303721			CC05581		PI303721	TS-685						PI303721		FALSE	TRUE	lycopersicum	SLL	S. lycopersicum vintage	3879	19	Pending	Pending																					
5	CW0079	LA4737		LA4737					BGV007878						BGV007878	TRUE	FALSE	lycopersicum							SLL	MEX	Yucatán	Mercado;Dzibalché;Yucatán	Tomate manzano	Dizilbache market, type "Manzano"	20.31666667	-90.033333330000005	71.23083333	7.248457908	10.206141669999999	3.1370511900000002	5.2	1.18631212	37.855967030000002	4.3711340209999996	1.2995121949999999	14.432	17.116981129999999	7.0092031999999999E-2	6.3965020000000001E-3
5	CW0080	LA4779		LA4779					BGV014515						BGV014515	TRUE	FALSE	lycopersicum							SLC San Martin	PER	San Martín	Lamas.Lamas.Lamas, a 1 Km dirección SE;San Martín	unknown	primitive cultivar in farmland	-6.4336111110000003	-76.507499999999993	16.96083333	7.115426492	3.6875	2.9029629629999998	4.3	1.181502362	13.43328208	5.0509803919999996	0.23961352699999999	11.432727270000001	14.816000000000001	6.9251164000000004E-2	1.0120238E-2
5	CW0081	LA4746		LA4746					BGV007910						BGV007910	TRUE	FALSE	lycopersicum							SLC MEX	MEX	San Luis de Potosí	Palo de Arco;Ciudad Valles;San Luis de Potosí	Tomate coyolito	wild "Coyolito", 1,5 - 2 cm	21.9	-99.15	2.356641667	11.24400285	2.2821428570000002	0.70980555599999995	8.15	3.4445153120000001	43.251111029999997	7.9592959299999997	0.248425431	23.68901099	25.794113209999999	1.924949E-3	6.1779599999999999E-4
5	CW0082	LA4690		LA4690					BGV006825						BGV006825	TRUE	FALSE	lycopersicum							SLC PER	ECU	Pastaza	Santa Clara;Pastaza	unknown	Backyard, growing wild	-1.2377777780000001	-77.88027778	23.68166667	7.580321433	4.3	2.6538611109999999	5.2	1.275966446	35.71426408	5.7568627450000003	0.24975609800000001	14.542857140000001	18.290196080000001	7.6446808000000005E-2	5.2821539999999998E-3
5	CW0083	BGV006175	LA4664	LA4664					BGV006175					BGV006175	BGV006175	TRUE	TRUE	lycopersicum	SLC	S. lycopersicum var. cerasiforme	10349	99	Pending	Pending	SLC ECU	ECU	El Oro	San Jacinto.Ayapamba.Atahualpa;El Oro	Tomate del chiquito	farmland	-3.630833333	-79.679722220000002	15.2372549	6.736352792	3.2250000000000001	NA	4.25	0.78766358999999997	31.194186890000001	3.8980112189999998	0.30316111800000001	12.44031831	14.55956874	4.4969320000000004E-3	1.2944580000000001E-3
5	CW0084	LA4700		LA4700					BGV006904						BGV006904	TRUE	FALSE	lycopersicum							SLC ECU	ECU	Morona Santiago	Logroño;Morona Santiago	Tomatillo	backyard, primitive cultivar, selfconsumption, sometimes sold	-2.6152777779999998	-78.198333329999997	3.568333333	8.956121018	2.0381578949999999	1.095878788	5.2	1.3216199040000001	46.36290546	7.5302752289999999	0.22028985500000001	12.94035088	14.21538462	NA	NA
5	CW0085	LA4726		LA4726					BGV007860						BGV007860	TRUE	FALSE	lycopersicum							SLL	MEX	Yucatán	Hacienda Tchoilen;Dzidzantun;Yucatán	Tomate zocato	Dizidzautum market, primitive cultivar "Zocato"	21.25	-89.033333330000005	67.475	7.066563016	5.2874999999999996	2.7662222220000001	4.5999999999999996	1.1071902149999999	28.184178119999999	2.6556701029999998	0.501435407	11.423999999999999	15.026086960000001	4.3421176999999998E-2	1.1477012E-2
5	CW0086	LA4699		LA4699					BGV006901						BGV006901	TRUE	FALSE	lycopersicum							SLC ECU	ECU	Morona Santiago	Huambi;Morona Santiago	Tomatillo	backyard, primitive cultivar	-2.5422222219999999	-78.166666669999998	6.662083333	8.060996272	2.0874999999999999	1.6410833330000001	4.5999999999999996	1.6717722559999999	37.74723633	8.1568627449999997	0.28985507199999999	10.273684210000001	15.167999999999999	5.8308179999999998E-3	4.2581299999999998E-4
